14
1;ABC-1234;AUDI;E-TRON;2022;12;ESPORTIVO;0
2;MHM-2022;TOYOTA;COROLLA;2022;20;ESPORTIVO;0
3;BEZ-9999;HYUNDAI;E-TRON;2024;16;SEDAN;0
4;FOR-1904;ALFA ROMEO;ARCHIVES;2021;20;SEDAN;0
5;JJK-5274;LAND ROVER;RANGER ROVER;2022;10;CROSSOVER;0
6;NJK-1970;LAND ROVER;RANGER ROVER EVOQUE SI4 SE;2021;9;CROSSOVER;0
7;TJK-8402;LAND ROVER;Discovery Sport 2.0 Si4 HSE;2020;11;CROSSOVER;0
8;JDR-0312;VOLKSWAGEN;POLO;2016;5;SUV;0
9;JSQ-7436;CHEVROLET;ONIX;2015;150;SUV;0
10;HMG-0248;FORD;ECOSPORT;2019;100;PICAPE;0
11;PEC-2032;OPEL;CORSA;2017;200;PICAPE;0
12;MUK-6892;TOYOTA;COROLLA;2020;20;ESPORTIVO;0
13;NTD-4729;RAM;FORESTER;2014;105;SUV;0
14;NMP-0123;ACURA;TLX;2015;116;ESPORTIVO;0
